open,high,low,close,volume,dividends,stock_splits,split_multiplier,ma5,ma20,ma60,ma120,rsi14,macd,signal,std20,upper_band,lower_band,daily_return,daily_return_ma20,daily_return_std20,volume_ma20,bull,super_bull
0.11043681204319,0.11086649172499198,0.11043681204319,0.11043681204319,56067200,0.0,0.0,1.0,0.11095247268676758,0.10244425311684609,0.09452313520014285,0.09707278367131948,76.92351638521767,0.004540595373143344,0.003946581659745757,0.008215356970135342,0.11887496705711677,0.08601353917657541,0.019839655698164593,0.008357207206069629,0.026286863106120568,35506240.0,0,0
0.10914773964303852,0.10914773964303852,0.10871805995702744,0.10871805995702744,57680000,0.0,0.0,1.0,0.1099212110042572,0.10311030708253384,0.09509609118103982,0.09715514723211527,71.42918907233766,0.004298699233152001,0.004017005174427006,0.008153700348324988,0.11941770777918381,0.08680290638588387,-0.015563217140770025,0.006894165272767039,0.026783578147320176,37922080.0,0,0
0.10528053463193224,0.10528053463193224,0.10485084354877472,0.10485084354877472,93497600,0.0,0.0,1.0,0.10811650604009629,0.10354003161191941,0.09555446368952593,0.0972482523570458,62.19586022918469,0.003751695544088454,0.003963943248359296,0.007998464572072256,0.11953696075606392,0.0875431024677749,-0.0355710579252545,0.004665193342276946,0.02840431774647414,42201600.0,0,0
0.10699930787086487,0.10742899903586883,0.10699930787086487,0.10699930787086487,119593600,0.0,0.0,1.0,0.10785868614912034,0.10418460071086884,0.096062966187795,0.09741655960679055,67.47054599967285,0.0034517645023496996,0.003861507499157377,0.007712689005304757,0.11960997872147835,0.08875922270025932,0.020490672743998628,0.006805719328603288,0.02787180846323211,47584320.0,0,0
0.10828840732574463,0.1095774697917275,0.10828840732574463,0.10828840732574463,25222400,0.0,0.0,1.0,0.10785868614912034,0.10489362478256226,0.09654281089703241,0.09757770579308271,65.8235418834964,0.003280273591378405,0.0037452607176015826,0.007382316755164948,0.11965825829289214,0.09012899127223237,0.012047736387561958,0.007408106147981386,0.02784715799812133,48632640.0,0,0
0.11301493644714355,0.11344462760517002,0.11301493644714355,0.11301493644714355,38976000,0.0,0.0,1.0,0.10837431102991105,0.10586046017706394,0.09703697736064593,0.0977567488948504,64.93501638805287,0.003485577638434101,0.0036933241017680866,0.007096880670801569,0.12005422151866707,0.0916666988354608,0.04364760031220105,0.00981878645322915,0.028825713989150088,50336160.0,1,0
0.11215561027782482,0.11215561027782482,0.11172591894865036,0.11172591894865036,25804800,0.0,0.0,1.0,0.10897588282823563,0.10682729706168174,0.09742372247080008,0.09787850063294172,56.52174350082301,0.003503879098345139,0.0036554351010834973,0.006452993468832893,0.11973328399934753,0.09392131012401596,-0.011405726880146183,0.009936518723936427,0.028728987720957763,51380000.0,0,0
0.11172589796118067,0.11172589796118067,0.11129620671272278,0.11129620671272278,143763200,0.0,0.0,1.0,0.11026495546102524,0.10766522847115993,0.09781762895484765,0.09795728332052628,56.52170088956672,0.003444008564089232,0.0036131497936846444,0.005831280261343974,0.11932778899384788,0.09600266794847198,-0.0038461284540883822,0.008581523533103968,0.028706896084628248,58322880.0,0,0
0.10957747844158042,0.10957747844158042,0.10914778709411621,0.10914778709411621,37251200,0.0,0.0,1.0,0.1106946513056755,0.10830980017781258,0.09816140520075957,0.09798234843959411,41.6667076071574,0.0031864695883122712,0.0035278137526101702,0.005179914885531864,0.11866962994887631,0.09794997040674885,-0.01930361943199066,0.006707299583698895,0.029265402072925585,59977120.0,0,0
0.10785871484218523,0.10785871484218523,0.10742903500795364,0.10742903500795364,27574400,0.0,0.0,1.0,0.11052277684211731,0.10895437300205231,0.09841923154890538,0.09794654107342164,39.062539792803776,0.002811272565222636,0.0033845055151326634,0.004056126111855854,0.11706662522576401,0.10084212077834061,-0.01574701724992844,0.006812759629278131,0.029175890294747105,60084640.0,0,0
0.10742899903586883,0.10785867872622423,0.10699930787086487,0.10699930787086487,23049600,0.0,0.0,1.0,0.10931965112686157,0.10942706763744355,0.09867705727616946,0.09782120864838362,37.499915334482985,0.002450997261949056,0.003197803864495942,0.003093117810462231,0.11561330325836801,0.10324083201651908,-0.004000102365779967,0.0050219391511773185,0.028654951578379842,60572960.0,0,0
0.10442121068369956,0.10442121068369956,0.10399153083562851,0.10399153083562851,27507200,0.0,0.0,1.0,0.10777277350425721,0.10947003811597825,0.09891341192026933,0.09765648860484362,33.80278663205927,0.001900862064129552,0.0029384155044226644,0.003005801051381059,0.11548164021874037,0.10345843601321612,-0.028110247580913184,0.0007527831592788192,0.026758261566121322,60337760.0,0,0
0.10055323427927391,0.10055323427927391,0.10012355446815491,0.10012355446815491,10841600,0.0,0.0,1.0,0.10553824305534362,0.10908327959477901,0.09911394578715166,0.09748460041979949,35.819909795481905,0.0011396256939126131,0.0025786575423206544,0.0036521856646216694,0.11638765092402235,0.10177890826553566,-0.03719510941316384,-0.003398500677727423,0.025820696975888065,59308480.0,0,0
0.10184228420257568,0.10270242389899387,0.10184228420257568,0.10184228420257568,15030400,0.0,0.0,1.0,0.10407714247703552,0.10880394205451012,0.09939325600862503,0.09735568103690942,39.43555618942305,0.0006673348904324833,0.0021963930119430204,0.003983952297968566,0.11677184665044725,0.10083603745857299,0.01716608787563012,-0.0023410052196089826,0.02622539270025261,55792800.0,0,0
